num,text,pos,aspect_tag,polarity
s_1,I,PRON,NAT,0
s_1,charge,VERB,NAT,0
s_1,it,PRON,NAT,0
s_1,at,ADP,NAT,0
s_1,night,NOUN,NAT,0
s_1,and,CCONJ,NAT,0
s_1,skip,VERB,NAT,0
s_1,taking,VERB,NAT,0
s_1,the,DET,NAT,0
s_1,cord,NOUN,AT,0
s_1,with,ADP,NAT,0
s_1,me,PRON,NAT,0
s_1,because,SCONJ,NAT,0
s_1,of,ADP,NAT,0
s_1,the,DET,NAT,0
s_1,good,ADJ,NAT,0
s_1,battery,NOUN,AT,1
s_1,life,NOUN,AT,1
s_1,.,PUNCT,NAT,0
s_2,The,DET,NAT,0
s_2,tech,NOUN,AT,0
s_2,guy,NOUN,AT,0
s_2,then,ADV,NAT,0
s_2,said,VERB,NAT,0
s_2,the,DET,NAT,0
s_2,service,NOUN,AT,-1
s_2,center,NOUN,AT,-1
s_2,does,AUX,NAT,0
s_2,not,PART,NAT,0
s_2,do,VERB,NAT,0
s_2,1,NUM,NAT,0
s_2,-,PUNCT,NAT,0
s_2,to-1,NOUN,NAT,0
s_2,exchange,NOUN,NAT,0
s_2,and,CCONJ,NAT,0
s_2,I,PRON,NAT,0
s_2,have,VERB,NAT,0
s_2,to,PART,NAT,0
s_2,direct,VERB,NAT,0
s_2,my,PRON,NAT,0
s_2,concern,NOUN,NAT,0
s_2,to,ADP,NAT,0
s_2,the,DET,NAT,0
s_2,"""",PUNCT,AT,-1
s_2,sales,NOUN,AT,-1
s_2,"""",PUNCT,AT,-1
s_2,team,NOUN,AT,-1
s_2,",",PUNCT,NAT,0
s_2,which,PRON,NAT,0
s_2,is,AUX,NAT,0
s_2,the,DET,NAT,0
s_2,retail,ADJ,NAT,0
s_2,shop,NOUN,NAT,0
s_2,which,PRON,NAT,0
s_2,I,PRON,NAT,0
s_2,bought,VERB,NAT,0
s_2,my,PRON,NAT,0
s_2,netbook,NOUN,NAT,0
s_2,from,ADP,NAT,0
s_2,.,PUNCT,NAT,0
s_3,it,PRON,NAT,0
s_3,is,AUX,NAT,0
s_3,of,ADP,NAT,0
s_3,high,ADJ,NAT,0
s_3,quality,NOUN,AT,1
s_3,",",PUNCT,NAT,0
s_3,has,VERB,NAT,0
s_3,a,DET,NAT,0
s_3,killer,NOUN,NAT,0
s_3,GUI,PROPN,AT,1
s_3,",",PUNCT,NAT,0
s_3,is,AUX,NAT,0
s_3,extremely,ADV,NAT,0
s_3,stable,ADJ,NAT,0
s_3,",",PUNCT,NAT,0
s_3,is,AUX,NAT,0
s_3,highly,ADV,NAT,0
s_3,expandable,ADJ,NAT,0
s_3,",",PUNCT,NAT,0
s_3,is,AUX,NAT,0
s_3,bundled,VERB,NAT,0
s_3,with,ADP,NAT,0
s_3,lots,NOUN,NAT,0
s_3,of,ADP,NAT,0
s_3,very,ADV,NAT,0
s_3,good,ADJ,NAT,0
s_3,applications,NOUN,AT,1
s_3,",",PUNCT,NAT,0
s_3,is,AUX,NAT,0
s_3,easy,ADJ,NAT,0
s_3,to,PART,NAT,0
s_3,use,VERB,AT,1
s_3,",",PUNCT,NAT,0
s_3,and,CCONJ,NAT,0
s_3,is,AUX,NAT,0
s_3,absolutely,ADV,NAT,0
s_3,gorgeous,ADJ,NAT,0
s_3,.,PUNCT,NAT,0
s_4,Easy,ADJ,NAT,0
s_4,to,PART,NAT,0
s_4,start,VERB,AT,1
s_4,up,ADP,AT,1
s_4,and,CCONJ,NAT,0
s_4,does,AUX,NAT,0
s_4,not,PART,NAT,0
s_4,overheat,VERB,NAT,0
s_4,as,ADV,NAT,0
s_4,much,ADJ,NAT,0
s_4,as,ADP,NAT,0
s_4,other,ADJ,NAT,0
s_4,laptops,NOUN,NAT,0
s_4,.,PUNCT,NAT,0
s_5,I,PRON,NAT,0
s_5,even,ADV,NAT,0
s_5,got,VERB,NAT,0
