,review
0,Came here for NYC cookies to give as gifts - the family loved them! These cookies are the perfect texture and great warm! Be aware that they are very very sweet.
1,"Putting in my $0.02 on Levain among the 5,000+ reviews! I was really excited to try the Internet's most hyped cookie. At $4.50, this cookie lives up to its reputation! We came in on a random weekday and the cookies were fresh and ready. I grabbed the chocolate chip walnut and my friend got the chocolate chip, both were absolutely delightful, warm, and full of buttery, sugary goodness. They are also just so good the next day too. Definitely worth trying a Levain cookie and I highly recommend you walk over to Central Park to walk around and enjoy your cookie on a walk in the park."
2,"Of course they are good. Get them, try them, share them, heat them slightly...enjoy that classic nyc favorite. I have to say, given nycs cookie scene is on fire right now....these are still great, but I wouldn't be surprised if some other cookie cult like shops surpass it soon. In my heart, when Rocco dispirito said he loved this place, I knew I would too.  Here's to classic nyc."
3,"This is the second time I've tried these cookies. Before I write my review, I wanted to give a quick shout out to Lydia who works in customer relations. I previously had an unpleasant experience at the upper west side location and she reached out to me almost immediately to apologize. Not only did she listen to all of my feedback and concerns, but she ensured me that she would reach out to staff at the location to provide more training. She also ended up refunding me for the cookie I purchased and generously mailed out a box of cookies for me. This is a company that truly values and appreciates their customers. I would definitely recommend this bakery to my friends.Now, about the cookies. Pros: cookies are very large, so you only really need one to fill you up! Lots of chocolate chips in the chocolate chip cookie, which makes it very chocolatey. It's not too sweet. I ended up having my cookies shipped to me, and I was told to pop them in the oven at 350 deg for 5 minutes. This was the perfect setting, and led to an ooey-gooey center when I broke the cookie in half (believe me I was skeptical about this description at first too, but it's real). Cons: price of one cookie is $4.50. However, based on the size of the cookie, you definitely get your moneys worth. The cookie has a crisp exterior and a soft interior. I personally like my cookies soft all around. It seems the cookies get hard quick, and probably need to be warmed up if you bring them home from the store."
4,"We had these cookies mailed to us... from my husband's employer in NY. So random, but we welcome it. We loved it! This was a nice surprise, it was delivered right to our front door, all the way from the big apple to CA. Amazing. And these cookies are something else. It's so delicious!! The cookies are huge and it looks like mini muffins. Haha it was rather daunting at first, but after the first bite, you'll want to keep eating and before you know it, it's all gone! :/ Anyways, we had the honor to try their oatmeal raisins, choco chip walnut, dark choco choco, and dark choco peanut butter.  And not one of those cookies were a letdown. They were so goood! We ate them as is and apparently after we talked to some of my hubby's coworkers, the cookies would have been better had we microwaved it for a bit? Oh well. It was all gone by then lol. I can't wait to go to NY to get these in person, in the store!"
5,"What can I say? It's Levain's cookies, everyone knows how good they are and indeed it was freakin' warm gooey and delicious. The most delicious chocolate walnut and peanut butter chocolate cookies ever.About 5 dollars per cookie though. Good for those on occasion cravings."
6,"I have never heard of this place before until I received a gift box of assorted cookies. I am not a big cookie fan and I wasn't sure what to expect. When it was delivered, it felt like a ton--it was so heavy for such a small box. It is truegood things come in small packages! It was so nicely wrapped. None of the cookies were broken upon delivery! I received  a chocolate chip, peanut butter chocolate, chcocolate chocolate chip, oatmeal raisin cookie--4 cookies don't seem like much but these were thick, heavy and packed in deliciousness. Every bite I took of the cookie, I got either chocolate chip, nuts, raisin in eachbite. So, so good! Rather than eating each cookie in one sitting, I managed to split it into thirds...so that gift box of 4 cookies lasted quite awhile.I am a cookie lover now! Levain you changed me! Looks like I can find you at my local Whole Foods--Thanks Levain!!"
7,"Chocolate chip walnut cookie was increChocolate chip walnut cookie was incredible back when I could eat gluten. So happy they made a gluten free version I can have now adays! Not as good as the original of course, but still great. 5 stars because levain is great food, but also a fun and unique experience."
8,"Oh my word I am speechless !  This cookie is everything and a bag of chocolate chips!  This is one of the most moist, tasty and savory cookies a cookie lover can have.  This chocolate chocolate chip was heaven and the packaging perfect.  I can't wait to try another flavor oatmeal raisin here I come"
9,"By far some of my favorites treats in New York! The line is always out the door (but no worries at the longest a 10-minute wait), but well worth it. If it's your first time I would go for the classic chocolate chip and double chocolate chip cookies. They're both amazing and I can't pick a favorite so I always get both and split and have the rest the next day, Be aware - they are a lot bigger than they look but definitely worth the calories."
